stop_id,stop_name,stop_lat,stop_lon,zone
8514,KLINIK KESIHATAN PETRA JAYA,1.5909817,110.3401167,
8515,JKM SARAWAK,1.597635,110.3400167,
8516,SUKMA RIA,1.604125,110.3409233,
8517,BOMBA PETRA JAYA,1.5985717,110.3369633,
8518,SAMARIANG GOBIL,1.5966517,110.3345117,
8519,TADIKA SEDIDIK SEMARIANG,1.5900567,110.331205,
8520,OPP MCD SAMARIANG,1.5870967,110.331515,
8521,DBKU - BUKIT SIOL,1.5847533,110.3320367,
8522,OPP ECO MALL SAMARIANG,1.5816583,110.3325167,
8523,HAWA BBQ STEAMBOAT HOUSE,1.5765317,110.3316583,
8524,SURAU DARUL SAKINAH,1.5753017,110.329795,
8525,LORONG ASTANA 3,1.5728433,110.3270133,
8526,SJKCH BATU 7,1.576872,110.2549223,
8527,KPG SG ATAS BARU,1.6118345,110.2091048,
8528,TAMAN JUBILEE MAS,1.6082893,110.2244004,
8529,KAMPUNG MATANG,1.5850201,110.2263997,
8530,SIMPANG JALAN SINGAI - MATANG,1.580039,110.2434486,
8531,OPP SJKCH BATU 7,1.5767516,110.2559578,
8532,MATANG BATU 5,1.5742442,110.2821322,
8533,BATU 10 MATANG,1.5933414,110.2263952,
8535,JLN DESA WIRA,1.5065462,110.3023922,
8536,MOYAN,1.5062091,110.252746,
8537,KWONG LEE BANK,1.553204,110.38112,
8538,JALAN BINTAWA,1.5688702,110.3805406,
8539,BINTAWA WET MARKET,1.5713525,110.3803583,
8540,RPR DEMAK LAUT,1.5964688,110.410714,
